단일상품여부,위탁배송여부(배송주체),상품번호,판매자상품코드,상품명,상품그룹번호,브랜드명,모델명,상품홍보문구,판매상태,판매가,서비스이용료,기본즉시할인,추가즉시할인,추가즉시할인(직방),재고수량,판매수량,옵션,추가구성상품,판매방식,OK캐쉬백,마일리지,무이자할부,희망후원,사은품,배송비조건,배송비,도서산간 배송비,배송비결제방법,반품배송비,교환배송비,발송예정일,상품등록일,판매시작일,판매종료일,사용기간,리뷰개수,상품후기개수,최종수정일,플러스,플러스UP,카테고리,선할인율,최저가정보,전세계배송,배송불가지역,서비스가능지역기준,지점,회차,서비스타입
N,업체배송,5108378224,DV19T8745BW,삼성전자 그랑데 건조기 19KG DV19T8745BW 일반설치,0,삼성전자,미등록,물류직배송/폐가전수거,판매중,1048880,73421,-,-,-,1499,0,Y,N,고정가판매,-,-,,-,-,무료,0,N,선결제,0,0,,2022/11/03,2022/11/03,2025/11/02,,0,0,2022/11/03,-,-,세탁기/건조기>건조기>의류건조기,N,-,이용안함(N),N,-,,0,일반배송상품
N,업체배송,5060528111,W20WAN,LG전자 TROMM 워시타워 W20WAN (세탁23kg+건조20kg),0,LG전자,LG전자 트롬 워시타워 W20WAN,물류직배송/폐가전수거,판매중,2529980,177098,-,-,-,1499,0,Y,N,고정가판매,-,-,,-,-,무료,0,N,선결제,0,0,,2022/10/22,2022/10/22,2025/10/21,,0,0,2022/10/31,-,-,세탁기/건조기>세탁기 건조기 세트>세탁기 건조기 세트,N,-,이용안함(N),N,-,,0,일반배송상품
N,업체배송,5060520680,W20VAN,LG전자 TROMM 워시타워 W20VAN (세탁23kg+건조20kg),0,LG전자,LG전자 트롬 워시타워 W20VAN,물류직배송/폐가전수거,판매중,2589980,181298,-,-,-,1500,0,Y,N,고정가판매,-,-,,-,-,무료,0,N,선결제,0,0,,2022/10/22,2022/10/22,2025/10/21,,0,0,2022/10/31,-,-,세탁기/건조기>세탁기 건조기 세트>세탁기 건조기 세트,N,-,이용안함(N),N,-,,0,일반배송상품
N,업체배송,5060502149,T873MWW312,LG전자 디오스 오브제 컬렉션 냉장고 T873MWW312,0,LG전자,LG전자 T873MWW312,물류직배송/폐가전수거,판매중,2155400,150878,-,-,-,1500,0,Y,N,고정가판매,-,-,,-,-,무료,0,N,선결제,0,0,,2022/10/22,2022/10/22,2025/10/21,,0,0,2022/10/31,-,-,냉장고>4도어 냉장고>4도어 냉장고,N,-,이용안함(N),N,-,,0,일반배송상품
N,업체배송,5040203401,LDL22EHWRSS,위니아 딤채 LDL22EHWRSS 뚜껑형 김치냉장고 (221L),0,위니아딤채,위니아딤채 LDL22EHWRSS,물류직배송,판매중,681850,47729,-,-,-,1500,0,Y,N,고정가판매,-,-,,-,-,무료,0,N,선결제,0,0,,2022/10/17,2022/10/17,2025/10/16,,0,0,2022/11/01,-,-,냉장고>김치냉장고>뚜껑형,N,-,이용안함(N),N,-,,0,일반배송상품
N,업체배송,5033917093,TR14BK1,LG전자 통돌이세탁기 TR14BK1 일반세탁기 14kg,0,LG전자,LG전자 통돌이 TR14BK1 기본구성,물류직배송,판매중,475470,33282,-,-,-,1500,0,Y,N,고정가판매,-,-,,-,-,무료,0,N,선결제,0,0,,2022/10/15,2022/10/15,2025/10/14,,0,0,2022/10/21,-,-,냉장고>일반형>일반형,N,-,이용안함(N),N,-,,0,일반배송상품
N,업체배송,5033903575,WA16T6262WW,삼성전자 워블 WA16T6262WW,0,삼성전자,[승인반려]삼성전자 WA16T6262WW,물류직배송/폐가전수거,판매중,420000,29400,-,-,-,1500,0,Y,N,고정가판매,-,-,,-,-,1개당배송비,30000,N,선결제,0,0,,2022/10/15,2022/10/21,2025/10/20,,0,0,2022/10/21,-,-,세탁기/건조기>일반세탁기>일반세탁기,N,-,이용안함(N),N,-,,0,일반배송상품
N,업체배송,5033890470,Z402MEE151,LG전자 오브제 컬렉션 디오스 김치톡톡 Z402MEE151,0,LG전자,LG전자 Z402MEE151 (2023년형),물류직배송,판매중,2577360,180415,-,-,-,1500,0,Y,N,고정가판매,-,-,,-,-,무료,0,N,선결제,0,0,,2022/10/15,2022/10/15,2025/10/14,,0,0,2022/10/21,-,-,냉장고>김치냉장고>스탠드형,N,-,이용안함(N),N,-,,0,일반배송상품
N,업체배송,5033881871,RP20A31A1Z1,삼성전자 김치냉장고 뚜껑형 202L RP20A31A1Z1,0,삼성전자,삼성전자 RP20A31A1Z1 (2022년형),물류직배송,판매중,648630,45404,-,-,-,1500,0,Y,N,고정가판매,-,-,,-,-,무료,0,N,선결제,0,0,,2022/10/15,2022/10/15,2025/10/14,,0,0,2022/10/17,-,-,냉장고>김치냉장고>뚜껑형,N,-,이용안함(N),N,-,,0,일반배송상품
N,업체배송,5033865667,RP22A3531CW,삼성전자 비스포크 김치냉장고 221L RP22A3531CW,0,삼성전자,삼성전자 김치플러스 RP22A3531CW (2021년형),물류직배송,판매중,890960,62367,-,-,-,1500,0,Y,N,고정가판매,-,-,,-,-,무료,0,N,선결제,0,0,,2022/10/15,2022/10/15,2025/10/14,,0,0,2022/10/20,-,-,냉장고>김치냉장고>뚜껑형,N,-,이용안함(N),N,-,,0,일반배송상품
